Model Name,Inference Time (s)
WN-1k5_150_8_20230810-145517.pt,0.6640801429748535
TCN-BL_150_8_20230810-140840.pt,0.16871404647827148
LSTM-96-skip-bn-conv_150_8_20230810-154410.pt,0.40873289108276367
LSTM-96_150_8_20230810-152813.pt,0.36533689498901367
LSTM-96_1000_32_20230810-062251.pt,0.3560800552368164
WN-1k5_150_8_20230810-141518.pt,0.5361931324005127
TCN-BL_150_8_20230810-145030.pt,0.15196919441223145
LSTM-96-skip-bn-conv_150_8_20230810-140221.pt,0.386476993560791
TCN-BL_1000_32_20230810-055640.pt,0.15887999534606934
WN-1k5_1000_32_20230810-062611.pt,0.5060820579528809
LSTM-96-skip-bn-conv_1000_32_20230810-070925.pt,0.3798792362213135
